URL,Current title,Status,Old length,New length,Old description,New description
https://convertyard.com/diff-checker/,Compare Two Texts — ConvertYard,Rewritten,126,159,"Compare two texts side by side. Added, removed, and changed lines are highlighted. Runs in your browser — nothing is uploaded.","Compare two texts side by side. Added, removed, and changed lines are highlighted at line and word level. Runs in your browser — nothing is uploaded or stored."
https://convertyard.com/png-to-text/,PNG to Text Converter — ConvertYard,Rewritten,148,155,"Extract text from PNG images — UI captures, diagram labels, transparent-background exports. Batch up to 1,000 files locally. No uploads, no account.","Extract text from PNG screenshots, UI captures, and diagram labels. Transparent backgrounds handled. Batch up to 1,000 files locally — nothing is uploaded."
https://convertyard.com/png-to-svg/,PNG to SVG Converter — ConvertYard,Rewritten,145,151,"Vectorise PNG logos and icons into scalable SVG — no Illustrator needed. Works on logos, icons, line art, QR codes. Runs locally in your browser.","Trace PNG logos and icons into scalable SVG paths. Works on logos, icons, line art, and QR codes. Runs in your browser — files never leave your device."
https://convertyard.com/png-to-ico/,PNG to ICO Converter — ConvertYard,Rewritten,146,153,"Convert PNG to ICO favicon in your browser. Packs 16×16, 32×32, 48×48, 64×64 and 128×128 into one .ico file. Batch convert 1,000 PNGs — no upload.","Pack a PNG into a multi-size ICO favicon — 16, 32, 48, 64, and 128 px in one file. Batch convert in your browser — nothing is uploaded. Site-ready icons."
https://convertyard.com/image-upscaler/,Upscale an Image — ConvertYard,Rewritten,124,156,"Upscale photos and illustrations 2×–8× with on-device Real-ESRGAN in your browser. No upload, no account. Batch 1,000 files.","Upscale photos and illustrations 2×–8× with on-device Real-ESRGAN. Runs in your browser — no upload, no account. Batch up to 1,000 files. PNG or JPG output."
https://convertyard.com/svg-to-jpg/,SVG to JPG Converter — ConvertYard,Rewritten,135,153,"Convert SVG to JPG for blog thumbnails and social media. Set scale, quality, and background colour. Batch convert locally — no uploads.","Convert SVG to JPG for blog thumbnails and social images. Set scale, quality, and background colour. Batch convert in your browser — nothing is uploaded."
https://convertyard.com/regex-tester/,Test a Regular Expression — ConvertYard,Rewritten,120,153,"Test a regular expression against sample text. See matches, capture groups, and flags as you type. Runs in your browser.","Test a JavaScript regular expression against sample text. See matches, capture groups, and flags as you type. Runs in your browser — nothing is uploaded."
https://convertyard.com/mp3-to-mp4/,MP3 to MP4 Converter — ConvertYard,Rewritten,142,152,"Convert MP3 to MP4 in your browser — add a black screen, custom color, or album art. Batch convert audio files, no uploads, no account needed.","Turn an MP3 into an MP4 with a black screen, a solid color, or album art. Batch convert in your browser — files never leave your device. Ready to share."
https://convertyard.com/gradient-generator/,Make a CSS Gradient — ConvertYard,Rewritten,100,155,Build a CSS gradient with a live preview. Copy the CSS or export a PNG. Nothing leaves your browser.,"Build a CSS gradient with a live preview. Add color stops, pick linear or radial, copy the CSS or export a PNG. Runs in your browser — nothing is uploaded."
https://convertyard.com/svg-to-png/,SVG to PNG Converter — ConvertYard,Rewritten,136,157,"Convert SVG to PNG at any resolution — 1×, 2×, 4× or custom px. Batch convert icon sets locally in your browser. No uploads, no account.","Rasterise SVG to PNG at 1×, 2×, 4×, or any custom pixel size. Batch convert icon sets in your browser. Transparency kept. Files stay on your device. No blur."
